forecast,observed
0.206174468,0.1424
0.028882071,0
0,0
0.056342225,0
0.016762457,0
0.009594687,0
0,0
0.12454362,0
0,0
0.136515425,0.1868
2.134197632,1.9388
