forecast,observed
3.148245308,1.9633
1.016125279,0.3261
1.967929157,0.5018
3.376085557,0
3.553726276,1.6669
0.62301532,0.0934
0.26309201,0.0616
0.031211058,0.0534
0.002113415,0
0.055641642,0.2135
0.463796229,0.061
0.83102214,0
0.012543831,0
9.45E-05,0
0.002410071,0
0.288376979,0.1072
0.025103265,0.0411
0.060446919,0
2.113088417,18.2451
1.241460651,1.3813
0.325372936,0
1.538754585,0.3823
0.865484554,4.8771
0.174220708,0.6313
0.213851746,0
0.97357052,0.7351
0.277851291,0.2285
8.169912016,0.4502
11.99693147,9.5539
5.255689694,1.1479
10.77613395,4.3516
3.171710612,1.3746
11.78503188,12.722
0.347708693,0.7348
0.001000136,10.0992
6.37E-05,0
